Symptom,Disease
복부 통증,"가와사키병(Kawasaki Disease), 간 전이(Liver Metastasis), 간내 담석(IHD stone), 간농양(Liver abscess), 간디스토마(Clonorchisis sinensis), 간세포암(Hepatocellular carcinoma), 간의 양성 신생물(Benign neoplasm of the liver), 간이식 후 상태(Liver Transplantation status), 간질성 방광염(Interstitial Cystitis), 게실 질환(Diverticular disease), 결핵성 복막염(Tuberculous peritonitis), 경화성 담관염(Sclerosing cholangitis), 계류 유산(Missed abortion), 골반 염증성 질환(Pelvic inflammatory disease), 과립막 세포종(Granulosa cell tumor), 과호흡 증후군(Hyperventilation syndrome), 궤양성 대장염(Ulcerative colitis), 급성 A형 간염(Acute hepatitis A), 급성 담낭염(Acute cholecystitis), 급성 류마티스성 열(Acute Rheumatic fever), 급성 바이러스성 간염(Acute viral hepatitis), 급성 위장염(Acute gastroenteritis), 급성 충수염(Acute appendicitis), 급성 췌장염(Acute pancreatitis), 난소 낭종(Ovarian cysts), 난소난관염(Oophoritis, Ovaritis), 난소암(Ovarian cancer), 난소의 양성 종양(Benign ovary tumor), 납 중독(Lead Poisoning), 노로바이러스 장염(Norovirus Gastroenteritis), 단장 증후군(Short Bowel Syndrome), 담낭 선근종증(Aadenomyomatosis of Gallbladder), 담낭 용종(GB polyp), 담낭암(GB cancer), 담석(GB stone), 당뇨병성 케톤산증 (Diabetic ketoacidosis), 대동맥 박리(Aortic dissection), 대동맥류(Aortic aneurysm), 대장 용종(Polyp of colon), 대장균 감염(Escherichia coli (E. coli) infection), 대장암(Colon cancer), 덤핑 증후군(Dumping syndrome), 독성 간염(Toxic hepatitis), 만성 B형 간염(Chronic hepatitis B), 만성 위염(Chronic gastritis), 만성 췌장염(Chronic pancreatitis), 맹장염(Appendicitis), 무월경(Amenorrhea), 바터 팽대부 암(AOV cancer), 반티 증후군(Banti syndrome), 배란통(Ovulation pain), 버드 키아리 신드롬(Budd-Chiari syndrome), 버킷 림프종(Burkitt Tumor), 변비(Constipation), 복강 내 출혈(Intraperitoneal Bleeding), 복막염(Peritonitis), 복부 대동맥류(Abdominal aortic Aneurysm), 복압성 요실금(Stress urinary incontinence), 부신 기능부전(Adrenal insufficiency), 부신 종양(Adrenal tumor), 비브리오 패혈증(Vibrio vulnificus Septicemia), 산욕열(Puerperal fever), 석회화 담낭(Porcelain GB), 선모충증(Trichinellosis), 섬유근육통(Fibromyalgia), 세균성 이질(Shigellosis), 셀리악병(Celiac disease), 소변 정체(Retention of urine), 소장암(Small bowel cancer), 소장의 혈관 장애(Vascular disorders of intestine), 소화불량(Dyspepsia), 습관성 유산(Habitual miscarriage), 식중독(Foodborne illness), 신경성 폭식증(Bulimia nervosa), 신증후성 출혈열(Hemorrhagic fever with renal syndrome), 십이지장 궤양(Duodenal ulcer), 십이지장염(Duodenitis), 아메바성 간농양(Amebic liver abscess), 아메바성 이질(Amebic dysentery), 알코올성 간질환(Alcoholic liver disease), 여성 불임(Female infertility), 외음질의 이물(Foreign body in vulva and vagina), 요관 협착(Ureteral stricture), 용혈성 요독 증후군(Hemolytic Uremic Syndrome), 원발성 월경곤란(Primary dysmenorrhea), 원충성 질환(PROTOZOAL DISEASES), 위 유암종(Gastric Carcinoid Tumor), 위경련(Stomach cramp), 위궤양(Gastric ulcer), 위막성 대장염(Pseudomembranous colitis), 위말트 림프종 (Gastric MALT lymphoma), 위암(Stomach cancer), 위염(Gastritis), 위용종(Gastric polyp), 위장관 결핵(Gastrointestinal tuberculosis), 위장관 기질 종양(Stomach GIST), 윌름즈 종양(Wilms Tumor), 유당분해효소결핍증(Lactose intolerance), 유산(Abortion), 음식 알레르기(Food allergy), 이소성 췌장(Ectopic pancreas), 이식편대숙주질환(Graft-versus-host reaction or disease(GVHD)), 인슐린 의존성 당뇨병(Insulin-dependent diabetes mellitus), 자가면역용혈질환(Autoimmune hemolytic disease), 자궁 상피 내 암종(Carcinoma in situ of Cervix), 자궁 외 임신(Ectopic pregnancy), 자궁 육종(Sarcoma of Uterus), 자궁경관무력증(Incompetent internal os of cervix), 자궁경부염(Cervicitis), 자궁내막암(Endometrial cancer), 자궁내막증(Endometriosis), 자궁선근증(Adenomyosis), 자궁의 평활근종(Leiomyoma of uterus), 자극성 장 증후군(Irritable bowel syndrome), 장간막 동맥 혈전증(Mesenteric Arterial Thrombosis), 장간막 정맥 혈전증(Mesenteric Venous Thrombosis), 장염전(Volvulus), 장유착(Intestine adhesions), 장중첩증(Intussusception), 장출혈성 대장균 감염증(Enterohemorrhagic Escherichia coli), 장폐색(Intestinal obstruction), 절박 유산(Threatened Abortion), 조기 진통(Preterm labour), 조산(Prematurity delivery), 중증 열성 혈소판감소 증후군(Severe fever with thrombocytopenia syndrome(SFTS)), 직장 유암종(Rectal Carcinoid Tumor), 진행성 위암(Advanced gastric cancer), 총담관 낭(Choledochal cyst), 총담관 담석(CBD stone), 충수암(appendiceal carcinoma), 췌장 전이암(Pancreatic metastasis), 췌장암(Pancreatic cancer), 췌장염(Pancreatitis), 카롤리병(Caroli’s disease), 카르시노이드 증후군(Carcinoid syndrome), 캄필로박터 감염증(Campylobacteriosis), 크론병(Crohn's disease), 탄저병(Anthrax), 태반 유착증(Placenta Accreta), 태반 조기 박리(Abruptio placenta), 파라티푸스(Paratyphoid fever), 파브리병(Fabry disease), 파종혈관내응고(Diffuse or disseminated intravascular coagulation), 포상기태(Hydatidiform mole), 항문 및 직장의 궤양(Ulcer of anus and rectum), 헤노호 쉰라인 자반증(Henoch-Schonlein purpura), 혈관염(Vasculitis), 화농성 간농양(Pyogenic liver abscess), 황열(Yellow fever)"
불규칙적 진통,가진통(False labor)
비정상적인 진통,"가진통(False labor), 난산(Dystocia), 양수과다증(Hydramnios), 융모양막염(Chorioamnionitis), 조기 양막 파열(Premature rupture of membranes), 태반 조기 박리(Abruptio placenta)"
근력 약화,"각기병(Beriberi), 거대적혈모구빈혈(Megaloblastic anemia), 고마그네슘혈증(Hypermagnesemia), 근감소증(Sarcopenia), 근위축성 측색 경화증(Amyotrophic lateral sclerosis), 근육병(Myopathy), 노쇠(Frailty), 뇌하수체 기능부전(Hypopituitarism), 니만-피크병(Niemann-Pick disease), 대사성 알칼리증(Metabolic Alkalosis), 베커형 근이영양증(Becker muscular dystrophy), 복합 부위 통증 증후군(Complex regional pain syndrome), 부갑상선기능항진증(Hyperparathyroidism), 부신 종양(Adrenal tumor), 성선기능저하증(Hypogonadism), 쇼그렌 증후군(Sicca syndrome (Sjogren)), 신경근병증(Radiculopathy), 신경절 신경종(Ganglioneuroma), 운동신경 질환(Motor neuron disease), 중증 근무력증(Myasthenia gravis), 척수공동증(Syringomyelia), 척수병증(Myelopathy), 척추 종양(Spine Bone Tumor), 쿠싱 증후군(Cushing's syndrome), 폼페병(Pompe disease), 피부근육염(Dermatopolymyositis), 횡문근융해증(Rhabdomyolysis), 후종인대 골화증(Ossification of posterior longitudinal ligament), 흉선암(Thymus Cancer)"
권태감,"각기병(Beriberi), 감염성 홍반(Erythema infectiosum), 결핵성 복막염(Tuberculous peritonitis), 골수염(Osteomyelitis), 괴혈병(scurvy), 급성 A형 간염(Acute hepatitis A), 급성 B형 간염(Acute hepatitis B), 급성 바이러스성 간염(Acute viral hepatitis), 납 중독(Lead Poisoning), 냉방병(Air-conditioningitis), 노로바이러스 장염(Norovirus Gastroenteritis), 뇌하수체 기능 항진(Hyperfunction of pituitary gland), 늑막염(Pleurisy), 대사성 산증(Metabolic Acidosis), 레지오넬라증(Legionella), 마버그열(Marburg hemorrhagic fever), 만성 부비동염(Chronic rhinosinusitis), 만성 위염(Chronic gastritis), 만성 피로 증후군(Chronic Fatigue Syndrome), 메리오이드증(Melioidosis), 발진열(Murine typhus), 발진티푸스(Epidemic typhus), 부비동염(Sinusitis), 부신 기능부전(Adrenal insufficiency), 소아청소년기 우울증(Depression in childhood and adolescence), 신체형 장애(Somatic symptom disorder), 악액질(Cachexia), 야토병(Tularemia), 열 피로(heat exhaustion), 웨스트나일열(West Nile Fever), 전정신경염(Vestibular neuronitis), 점액수종 혼수(Myxoedema coma), 중증 급성 호흡기 증후군(Severe Acute Respiratory Syndrom), 치쿤구니야열(Chikungunya Fever), 캐슬만병(Castlemans disease), 큐열(Q Fever), 풍진(Rubella(German measles))"
무감각,"각기병(Beriberi), 당뇨병성 말초신경병증(Diabetic polyneuropathy), 동상(Frostbite), 아밀로이드증(Amyloidosis), 잠수병(Diver's disease), 지간 신경종(Interdigital neuroma), 처그 스트라우스 증후군(Churg strauss syndrome)"
체중감소,"각기병(Beriberi), 간 전이(Liver Metastasis), 간경화(Liver cirrhosis), 간문부 담관암(Klatskin's tumor), 간세포암(Hepatocellular carcinoma), 갑상선중독증(Thyrotoxicosis), 결핵(Tuberculosis), 결핵성 골수염(Tuberculous osteomyelitis), 결핵성 복막염(Tuberculous peritonitis), 결핵성 임파선염(Tuberculous lymphadenitis), 경화성 담관염(Sclerosing cholangitis), 계류 유산(Missed abortion), 궤양성 대장염(Ulcerative colitis), 급성골수성백혈병(Acute myeloid leukemia), 급성림프모구백혈병(Acute lymphoblastic leukemia), 기관지확장증(Bronchiectasis), 기쿠치병(Kikuchi Disease), 노쇠(Frailty), 노카르디아증(Nocardiosis), 단장 증후군(Short Bowel Syndrome), 담관암(Cholangiocarcinoma), 담낭암(GB cancer), 당뇨병(Diabetes mellitus), 만성 췌장염(Chronic pancreatitis), 만성골수백혈병(Chronic myeloid leukemia), 만성림프구백혈병(Chronic lymphocytic leukemia), 미만성 간질성 폐질환(Diffuse Interstitial lung disease), 바렛 식도(Barrett's esophagus), 바터 팽대부 암(AOV cancer), 방선균증(Actinomycosis), 백혈병(Leukemia), 부신 기능부전(Adrenal insufficiency), 부신 종양(Adrenal tumor), 부신암(Adrenal gland cancer), 불면증(Insomnia), 브루셀라증(Brucellosis), 비호지킨 림프종(Non-Hodgkin lymphoma), 선천성 부신과다 형성증(Congenital adrenal hyperplasia), 섭식 장애(Eating disorder), 셀리악병(Celiac disease), 소장암(Small bowel cancer), 소장의 혈관 장애(Vascular disorders of intestine), 소화불량(Dyspepsia), 속립성 결핵(Miliary tuberculosis), 식도암(Esophageal cancer), 식도이완불능증(Esophageal Achalasia), 신경모세포종(Neuroblastoma), 신경성 식욕부진증(Anorexia nervosa), 아밀로이드증(Amyloidosis), 악성 중피종(Malignant mesothelioma), 악액질(Cachexia), 요근 농양(Psoas abscess), 운동신경 질환(Motor neuron disease), 위궤양(Gastric ulcer), 위말트 림프종 (Gastric MALT lymphoma), 위암(Stomach cancer), 위장관 결핵(Gastrointestinal tuberculosis), 인슐린 의존성 당뇨병(Insulin-dependent diabetes mellitus), 자가면역 질환(autoimmune diseasse), 자극성 장 증후군(Irritable bowel syndrome), 장간막 동맥 혈전증(Mesenteric Arterial Thrombosis), 장유착(Intestine adhesions), 전신 홍반성 낭창(Systemic lupus erythematosus), 직장 유암종(Rectal Carcinoid Tumor), 진행성 위암(Advanced gastric cancer), 처그 스트라우스 증후군(Churg strauss syndrome), 척추 골수염(Vertebral osteomyelitis), 췌장 전이암(Pancreatic metastasis), 췌장암(Pancreatic cancer), 췌장염(Pancreatitis), 카롤리병(Caroli’s disease), 크론병(Crohn's disease), 타카야수 혈관염(Takayasu’s Arteritis), 폐 농양(Abscess of lung), 폐결핵(Pulmonary tuberculosis), 폐암(Lung cancer), 호산구 증가증(Eosinophilia), 호지킨 림프종(Hodgkin lymphoma), 후두암(Larynx  cancer), 흡수장애 증후군(Malabsorption Syndrome)"
식욕부진,"각기병(Beriberi), 간 전이(Liver Metastasis), 간경화(Liver cirrhosis), 간문부 담관암(Klatskin's tumor), 간염(Hepatitis), 감염성 홍반(Erythema infectiosum), 갑상선기능저하증(Hypothyroidism), 결핵성 골수염(Tuberculous osteomyelitis), 결핵성 복막염(Tuberculous peritonitis), 결핵성 임파선염(Tuberculous lymphadenitis), 경화성 담관염(Sclerosing cholangitis), 고나트륨혈증(Hypernatremia), 고산병(Mountain sickness), 골수염(Osteomyelitis), 괴혈병(scurvy), 급성 A형 간염(Acute hepatitis A), 급성 C형 간염(Acute hepatitis C), 급성 바이러스성 간염(Acute viral hepatitis), 급성 충수염(Acute appendicitis), 기쿠치병(Kikuchi Disease), 납 중독(Lead Poisoning), 노쇠(Frailty), 뇌하수체 기능부전(Hypopituitarism), 담낭암(GB cancer), 뎅기열(Dengue fever), 독성 간염(Toxic hepatitis), 돌발성 발진(Exanthem subitum), 만성 B형 간염(Chronic hepatitis B), 만성 신부전(Chronic renal failure), 만성 피로 증후군(Chronic Fatigue Syndrome), 만성골수백혈병(Chronic myeloid leukemia), 말라리아(Malaria), 바렛 식도(Barrett's esophagus), 바터 팽대부 암(AOV cancer), 봉와직염(Cellulitis), 부갑상선기능항진증(Hyperparathyroidism), 부신 기능부전(Adrenal insufficiency), 부신암(Adrenal gland cancer), 불면증(Insomnia), 사이트린 결핍(Citrin deficiency), 성홍열(Scarlet fever), 셀리악병(Celiac disease), 소장암(Small bowel cancer), 소적혈구빈혈(Microcytic anemia), 속립성 결핵(Miliary tuberculosis), 수두(Varicella (chickenpox)), 순수적혈구무형성(Pure red cell aplasia), 시트룰닌혈증(Citrullinemia), 식도의 이물(Foreign body in esophagus), 신동맥 협착증(Renal artery stenosis), 신증후성 출혈열(Hemorrhagic fever with renal syndrome), 심낭 삼출 (Pericardial effusion), 심내막염(Endocarditis), 십이지장염(Duodenitis), 악액질(Cachexia), 알코올성 간질환(Alcoholic liver disease), 요근 농양(Psoas abscess), 우울증(Depressive disorder), 위궤양(Gastric ulcer), 위말트 림프종 (Gastric MALT lymphoma), 위암(Stomach cancer), 위장관 결핵(Gastrointestinal tuberculosis), 인슐린 의존성 당뇨병(Insulin-dependent diabetes mellitus), 자가면역 질환(autoimmune diseasse), 자가면역성 간염(Autoimmune hepatitis), 자가면역용혈질환(Autoimmune hemolytic disease), 장간막 정맥 혈전증(Mesenteric Venous Thrombosis), 중증 열성 혈소판감소 증후군(Severe fever with thrombocytopenia syndrome(SFTS)), 지방간(Fatty liver), 지중해빈혈(Thalassemia), 처그 스트라우스 증후군(Churg strauss syndrome), 척추 종양(Spine Bone Tumor), 춘곤증(spring fatigue), 충수암(appendiceal carcinoma), 췌장 전이암(Pancreatic metastasis), 측두동맥염(Temporal arteritis), 칸디다성 구내염(Candidal stomatitis), 크론병(Crohn's disease), 타카야수 혈관염(Takayasu’s Arteritis), 파라인플루엔자 감염증(Parainfluenza infection), 프로피온산증(Propionic acidemia), 홍역(Measles), 화농성 간농양(Pyogenic liver abscess)"
눈부심,"각막 궤양(Corneal ulcer), 각막 혼탁과 흉터(Corneal opacity and scar), 각막염(Keratitis), 결막염(Conjunctivitis), 망막 열공(retina tear), 백내장(Cataract), 베체트 병(Behcet's disease), 사시(Strabismus), 안검내반(Entropion), 안구 건조증(Dry eye syndrome), 원추각막(Keratoconus), 출혈성 결막염(Hemorrhagic conjunctivitis), 톡소플라즈마증(Toxoplasmosis), 포도막염(Uveitis), 홍채염(Iritis)"
눈의 통증,"각막 궤양(Corneal ulcer), 각막 혼탁과 흉터(Corneal opacity and scar), 각막염(Keratitis), 군발성 두통 증후군(Cluster headache syndrome), 난시(Astigmatism), 녹내장(Glaucoma), 베체트 병(Behcet's disease), 설맹(Snow blindness), 시신경염(Optic neuritis), 진균성 각막 궤양(Fungal corneal ulcers), 출혈성 결막염(Hemorrhagic conjunctivitis), 측두동맥염(Temporal arteritis), 톡소플라즈마증(Toxoplasmosis), 포도막염(Uveitis), 홍채염(Iritis), 화농성 안구내염(Purulent Endophthalmitis)"
눈물흘림,"각막 궤양(Corneal ulcer), 각막염(Keratitis), 군발성 두통 증후군(Cluster headache syndrome), 눈물흘림증(Epiphora), 비루관 폐쇄(Nasolacrimal duct obstruction), 안검내반(Entropion), 안면 마비(Facial palsy), 음식 알레르기(Food allergy), 한센병(Leprosy), 홍채염(Iritis)"
근시,"각막 부종(Corneal Edema), 스티클러 증후군(Stickler syndrome)"
시야장애,"각막 부종(Corneal Edema), 결핵성 수막염(Tuberculous meningitis), 노안(Presbyopia), 뇌경색(Cerebral infarction), 뇌동맥 폐쇄(Occlusion of cerebral artery), 뇌졸중(Cerebrovascular disease), 뇌하수체 양성 및 악성 신생물(Malignant or benign neoplasm of Pituitary gland), 눈물흘림증(Epiphora), 당뇨망막병증(Diabetic retinopathy), 당뇨병(Diabetes mellitus), 망막 박리(Retinal detachments & breaks), 망막 열공(retina tear), 망막 정맥 폐쇄(Retinal vein occlusion), 망막 출혈(Retinal hemorrhage), 베스트 난황형 황반부 이영양증 (Best vitelliform macular dystrophy), 보툴리눔독소증(Botulism), 부신백질이영양증(Adrenoleukodystrophy), 비문증(Floaters), 선천성 눈 기형(Congenital malformations of eye), 수정체 탈구(Lens luxation), 시신경염(Optic neuritis), 안구 건조증(Dry eye syndrome), 안면인식장애(Prosopagnosia), 임신성 고혈압(Pregnancy-induced hypertension), 중심장액성 맥락망막병증(Central Serous ChorioRetinopathy), 진행성 핵상마비(progressive supranuclear palsy), 피질하 경색과 백질뇌증을 동반하는 상염색체 우성 뇌동맥질환(Cerebral Autosomal Dominant Arteriopathy with Subcortical Infarcts and Leukoencephalopathy), 황반변성(Macular degeneration)"
안구혼탁,"각막 혼탁과 흉터(Corneal opacity and scar), 각막염(Keratitis), 라임병(Lyme disease), 백내장(Cataract), 설맹(Snow blindness), 한센병(Leprosy)"
포만감,"간 혈관종(Hepatic hemangioma), 소화불량(Dyspepsia)"
복부 불편감,"간 혈관종(Hepatic hemangioma), 간경화(Liver cirrhosis), 간염(Hepatitis), 급성 C형 간염(Acute hepatitis C), 냉방병(Air-conditioningitis), 노로바이러스 장염(Norovirus Gastroenteritis), 만성 C형 간염(Chronic hepatitis C), 만성 담낭염(Chronic cholecystitis), 부신암(Adrenal gland cancer), 불안 장애(Anxiety disorder), 섬유근육통(Fibromyalgia), 소장암(Small bowel cancer), 위암(Stomach cancer), 위염(Gastritis), 유당분해효소결핍증(Lactose intolerance), 장간막 동맥 혈전증(Mesenteric Arterial Thrombosis), 장간막 정맥 혈전증(Mesenteric Venous Thrombosis), 조기 위암(Early gastric cancer), 지방간(Fatty liver), 진행성 위암(Advanced gastric cancer), 총담관 낭(Choledochal cyst)"
오심,"간 혈관종(Hepatic hemangioma), 간경화(Liver cirrhosis), 간농양(Liver abscess), 간염(Hepatitis), 간의 양성 신생물(Benign neoplasm of the liver), 결핵성 복막염(Tuberculous peritonitis), 고나트륨혈증(Hypernatremia), 고마그네슘혈증(Hypermagnesemia), 고칼륨혈증(Hyperkalemia), 고칼슘혈증(Hypercalcemia), 고환의 염전(Torsion of testis), 공황 장애(Panic disorder), 교모세포종(Glioblastoma), 급성 A형 간염(Acute hepatitis A), 급성 B형 간염(Acute hepatitis B), 급성 관동맥 증후군(Acute Coronary Syndrome), 급성 담낭염(Acute cholecystitis), 급성 바이러스성 간염(Acute viral hepatitis), 급성 신부전(Acute renal failure), 급성 신우신염(Acute pyelonephritis), 급성 심근경색증(Acute myocardial infarction), 급성 충수염(Acute appendicitis), 급성 췌장염(Acute pancreatitis), 낭성 신장 질환(Cystic kidney disease), 노로바이러스 장염(Norovirus Gastroenteritis), 뇌농양(Brain abscess), 뇌동맥류(Cerebral aneurysm), 뇌종양(Brain tumor), 뇌하수체 기능부전(Hypopituitarism), 다태아(Multifetal pregnancy), 담낭암(GB cancer), 담석(GB stone), 대동맥 박리(Aortic dissection), 댄디워커 증후군(Dandy-Walker syndrome), 덤핑 증후군(Dumping syndrome), 독성 간염(Toxic hepatitis), 레지오넬라증(Legionella), 만성 B형 간염(Chronic hepatitis B), 만성 담낭염(Chronic cholecystitis), 만성 위염(Chronic gastritis), 말기 신질환(End stage renal disease), 말로리-바이스 증후군(Mallory-weiss Syndrome), 메니에르병(Meniere's disease), 박테리아성 뇌수막염(Bacterial meningitis), 배란통(Ovulation pain), 백혈병(Leukemia), 부갑상선기능항진증(Hyperparathyroidism), 부비동염(Sinusitis), 부신 기능부전(Adrenal insufficiency), 생식선 및 생식 세포의 신생물(Gonadal and germ cell neoplasma), 석회화 담낭(Porcelain GB), 세균성 이질(Shigellosis), 소장의 혈관 장애(Vascular disorders of intestine), 수신증(Hydronephrosis), 식도 정맥류(Esophageal varices), 식도염(Esophagitis), 신동맥 협착증(Renal artery stenosis), 신장 결석(Renal stone), 신체형 장애(Somatic symptom disorder), 십이지장염(Duodenitis), 알코올성 간질환(Alcoholic liver disease), 약물 알레르기(Drug allergy), 옻 중독(Poison ivy dermatitis), 외상에 의한 뇌 손상(Traumatic brain injury), 요관 결석(Ureteral stone), 요로결석(Urolithiasis), 원인을 알 수 없는 열(Fever of unknown origin), 위 정맥류(Gastric varices), 위경련(Stomach cramp), 위궤양(Gastric ulcer), 위식도 역류성 질환(Gastro-esophagus reflux disease), 위염(Gastritis), 위장관 결핵(Gastrointestinal tuberculosis), 위장관 기질 종양(Stomach GIST), 유당분해효소결핍증(Lactose intolerance), 음식 알레르기(Food allergy), 이소성 췌장(Ectopic pancreas), 일산화탄소 중독(Carbon monoxide-poisoning), 자가면역성 간염(Autoimmune hepatitis), 장간막 정맥 혈전증(Mesenteric Venous Thrombosis), 장염전(Volvulus), 저나트륨혈증(Hyponatremia), 전정신경염(Vestibular neuronitis), 조기 위암(Early gastric cancer), 진행성 위암(Advanced gastric cancer), 척추 뇌저 동맥 증후군(Vertebro-basilar artery syndrome), 총담관 낭(Choledochal cyst), 총담관 담석(CBD stone), 췌장암(Pancreatic cancer), 콜레라(Cholera), 크론병(Crohn's disease), 타코츠보 심근증(Takotsubo cardiomyopathy), 파상풍(Tetanus), 편두통(Migraine), 포르피린증(Porphyria), 항문 및 직장의 궤양(Ulcer of anus and rectum), 현훈(Vertigo), 화농성 간농양(Pyogenic liver abscess)"
피부 긴장도 저하,"간경화(Liver cirrhosis), 고나트륨혈증(Hypernatremia), 고혈압(Essential (primary) hypertension), 골수염(Osteomyelitis), 근위축성 측색 경화증(Amyotrophic lateral sclerosis), 급성 바이러스성 간염(Acute viral hepatitis), 급성골수성백혈병(Acute myeloid leukemia), 기분부전증(Dysthymia), 림프부종(Lymphedema), 만성 신부전(Chronic renal failure), 만성골수백혈병(Chronic myeloid leukemia), 만성림프구백혈병(Chronic lymphocytic leukemia), 메켈 게실(Meckel's diverticulum), 백혈병(Leukemia), 부갑상선기능항진증(Hyperparathyroidism), 산후 갑상선염(Postpartum thyroiditis), 셀리악병(Celiac disease), 수면 무호흡증(Sleep apnea), 신부전(Renal failure), 심근병증(Cardiomyopathy), 심방 중격 결손(Atrial septal defect), 월경전 증후군(Premenstrual syndrome), 임신성 당뇨병(Gestational diabetes), 자가면역성 간염(Autoimmune hepatitis), 잠수병(Diver's disease), 재생불량빈혈(Aplastic anemia), 저칼륨혈증(Hypokalemia), 철결핍빈혈(Iron deficiency anemia), 폐경기 및 여성의 갱년기 상태(Menopausal and female climacteric states), 하지 정맥류(Varicose veins), 호지킨 림프종(Hodgkin lymphoma)"
악취가 나는 설사,"간내 담석(IHD stone), 위장관 결핵(Gastrointestinal tuberculosis)"
소화불량,"간내 담석(IHD stone), 간디스토마(Clonorchisis sinensis), 기능성 위장 장애(Functional Gastrointestinal Disorder), 냉방병(Air-conditioningitis), 담석(GB stone), 대장암(Colon cancer), 만성 C형 간염(Chronic hepatitis C), 만성 위염(Chronic gastritis), 식도의 평활근종(Leiomyoma of esophagus), 십이지장 궤양(Duodenal ulcer), 십이지장염(Duodenitis), 양수과다증(Hydramnios), 위 유암종(Gastric Carcinoid Tumor), 위궤양(Gastric ulcer), 위암(Stomach cancer), 위용종(Gastric polyp), 자가면역 질환(autoimmune diseasse), 장유착(Intestine adhesions), 전신 경화증(Systemic Sclerosis), 조기 위암(Early gastric cancer), 진행성 위암(Advanced gastric cancer), 춘곤증(spring fatigue), 헬리코박터균 감염(Helicobacter pylori infection)"
