Title,Symptoms,Related Diseases,Departments,Synonyms
뇌동맥류(Cerebral aneurysm),"구토, 두통, 오심, 뇌전증 발작 , 안구내 출혈, 의식 변화","자발성 두개강 내 출혈, 뇌동맥 폐쇄, 동맥류","영상의학과, 신경외과, 신경중재클리닉","뇌동맥꽈리,뇌지주막하 출혈,두개강 내 동맥류"
뇌사(brain death),"무의식, 무호흡, 동공산대, 호르몬변화, 반사 이상","부정맥, 뇌종양, 양성 뇌종양, 뇌졸중, 외상에 의한 뇌 손상, 고혈압, 요붕증, 저체온증","신경과, 신경외과",
뇌성 마비(Cerebral palsy),"근긴장의 이상, 반사 이상, 뇌전증 발작 , 인지장애, 보행이상","바이러스성 뇌수막염, 운동신경 질환, 보행 운동 장애","소아신경과, 소아재활의학과, 소아정형외과",
뇌염(Encephalitis),"기운없음, 오한, 시력 감소, 열, 방향감각 상실, 의식 저하, 경부 강직, 정신 혼미, 구토, 두통, 경련","박테리아성 뇌수막염, 일본 뇌염, 바이러스성 뇌수막염","신경과, 소아신경과",수막뇌염
뇌전증(Epilepsy),"뇌전증 발작 , 의식 저하, 눈꺼풀의 떨림, 온몸이 떨림, 경련, 손떨림","뇌종양, 양성 뇌종양, 저칼슘혈증, 선천성 기형, 외상성 경막하 출혈, 뇌경색, 발작, 저혈당증, 뇌졸중, 뇌 동정맥 기형","신경과, 신경외과","epilepticseizure,epilepticsyndrome"
뇌졸중(Cerebrovascular disease),"시력 감소, 복시, 어지러움, 운동장애, 발음 이상, 반신마비, 두통, 시야장애, 언어장애, 삼키기 곤란 ","뇌경색, 뇌출혈, 고혈압, 협심증, 급성 심근경색증","신경과, 신경외과, 소아신경과, 소아신경외과","stroke,급성기 허혈성 뇌중풍,뇌졸증,뇌중풍,중풍,허혈성 뇌중풍,허혈성 뇌혈관 질환"
뇌종양(Brain tumor),"운동장애, 오심, 감각 이상, 구토, 두통, 뇌전증 발작 ","양성 뇌종양, 신경종, 뇌하수체의 악성 신생물, 뇌하수체 양성 및 악성 신생물","종양내과, 방사선종양학과, 소아청소년종양혈액과, 신경과, 신경외과, 소아내분비대사과, 소아신경과, 암병원","뇌암,뇌종양"
뇌출혈(Cerebral hemorrhage),"마비, 어지러움, 두통, 구토, 의식 저하, 의식 변화","자발성 두개강 내 출혈, 지주막하 출혈, 뇌졸중","신경과, 신경외과, 재활의학과","뇌 내 출혈,뇌실질내출혈,뇌일혈,출혈성 뇌졸중,출혈성 뇌중풍"
뇌하수체 기능 항진(Hyperfunction of pituitary gland),"권태감, 당뇨, 고혈압, 거인증, 말단비대, 성조숙증, 발한, 무월경, 얼굴부종","뇌하수체 기능부전, 뇌하수체 양성 및 악성 신생물, 말단비대증, 뇌하수체의 악성 신생물, 쿠싱 증후군",내분비내과,뇌하수체 기능항진증
뇌하수체 기능부전(Hypopituitarism),"성기능 장애, 불임, 식욕부진, 근력 약화, 피로감, 저혈당, 희발월경, 오심, 복부비만, 질의 건조함, 저혈압, 골다공증, 추위를 못견딤","뇌하수체 양성 및 악성 신생물, 뇌하수체의 악성 신생물, 뇌하수체 기능 항진","내분비내과, 소아내분비대사과",뇌하수체기능저하증
뇌하수체 양성 및 악성 신생물(Malignant or benign neoplasm of Pituitary gland),"시야장애, 두통, 불임, 성욕감퇴, 성선 기능 저하증, 유루증, 질의 건조함, 생리불순","뇌하수체 기능부전, 프라더 윌리 증후군 , 뇌하수체 기능 항진, 쿠싱 증후군, 대뇌성 거인증 , 뇌하수체의 악성 신생물","내분비내과, 방사선종양학과, 신경외과, 소아신경외과","뇌하수체선종,프로락틴종,뇌하수체 종양,뇌하수체 악성 신생물,뇌하수체 양성 신생물"
누난 증후군 (Noonan syndrome),"눈꺼풀 처짐증, 눈 사이가 멀어보임, 표준 신장의 3%이하, 음낭에 없는 고환,부고환, 정신 지체","바르덴부르크 증후군, 트리처 콜린스 증후군 , 대뇌성 거인증 , 러셀 실버 증후군 , 루빈스타인 테이비 증후군 , 마르판 증후군 , 다발성 흑자 증후군, 클리펠-트라우네이-베버 증후군, 홀트-오람 증후군 , 골덴하 증후군, 판코니범혈구감소증, 연골외배엽 이형성증 , 엘러스-단로스 증후군 , 코넬리아드랑게 증후군 , 베크위트-위드만 증후군, ARC 증후군",소아내분비대사과,
눈꺼풀 장애(Disorders of eyelid),눈꺼풀 처짐증,"안검염, 안검내반, 안검하수","성형외과, 안과",눈꺼풀 이상
눈물흘림증(Epiphora),"고름, 유루증, 눈꼽, 눈물흘림, 환부의 분비물, 시야장애","안구 건조증, 눈꺼풀 장애, 알레르기성 결막염",안과,유루증
늑막염(Pleurisy),"권태감, 열, 가슴 통증, 호흡곤란, 기침, 가래, 가슴 답답, 오한","폐 혈전색전증, 전신 홍반성 낭창, 류마티스 관절염, 폐렴, 폐결핵, 인플루엔자, 결핵, 자가면역 질환",호흡기내과,흉막염
니만-피크병(Niemann-Pick disease),"비장비대, 근력 약화, 가늘어지는 팔다리, 경련, 간비대, 근긴장의 이상, 낮은 지능","테이-삭스병 , 파브리병, 고셔병, 이염성 백질이영양증 ","의학유전학센터, 의학유전학과",니이만-픽병
니스트 이형성증(Kniest dysplasia ),,"골형성부전증, 파이퍼 증후군 , 스티클러 증후군, 연골무형성증, 에이퍼트 증후군 , 저인산증, 연골형성저하증, 크루존 증후군","의학유전학센터, 의학유전학과",니스트 형성이상
다낭성 난소 증후군(Polycystic ovary syndrome),"비정상적 질출혈, 소양감, 불임, 다모증, 여드름, 무월경, 희발월경","당뇨병, 인슐린 비의존성 당뇨병, 인슐린 의존성 당뇨병, 자궁내막 이상증식증, 다모증, 무월경, 자궁내막암",산부인과,다낭성난소증
다모증(Excessive hair growth),촘촘하게 난 털,"다낭성 난소 증후군, 포르피린증",피부과,"hirsutism,hypertrichosis,남성형털과다증,조모증,털과다증"
다발골수종(Multiple myeloma),"출혈 경향성, 빈혈, 잦은 감염, 창백, 배뇨장애, 피로감, 뼈의 통증, 골다공증","골수증식종양, 한랭글로불린혈증, 단세포군감마글로불린병증, 아밀로이드증, 고립성 골수종","종양내과, 혈액내과, 방사선종양학과","malignant plasma cell neoplasm,다발성 골수종"
다발성 경화증(Multiple sclerosis),"인지장애, 운동장애, 성기능 장애, 감각 이상, 사지 마비, 피로감, 반신마비, 배뇨장애, 보행이상, 시신경염, 배변장애, 안구진탕, 손떨림","시신경염, 전신 경화증, 자가면역 질환",신경과,다발성 경화
다발성 신경병증(Polyneuropathy),"시림, 손, 발 감각 저하, 저림","알코올 의존성, 급성 신부전, 당뇨병, 간경화",신경과,"다발신경병증,다발신경증"
다발성 흑자 증후군(LEOPARD syndrome),,"대뇌성 거인증 , 홀트-오람 증후군 , 골덴하 증후군, 판코니범혈구감소증, 러셀 실버 증후군 , ARC 증후군, 베크위트-위드만 증후군, 코넬리아드랑게 증후군 , 엘러스-단로스 증후군 , 루빈스타인 테이비 증후군 , 연골외배엽 이형성증 , 트리처 콜린스 증후군 , 누난 증후군 , 마르판 증후군 , 바르덴부르크 증후군, 클리펠-트라우네이-베버 증후군","의학유전학센터, 의학유전학과","LEOPARD 증후군,Multiple lentigines syndrome"
다운 증후군 (Down syndrome),"안면 변형, 심혈관계 증상, 납작한 코, 축 쳐진 귀","에드워드 증후군 , 파타우 증후군","소아청소년심장과, 소아내분비대사과, 소아재활의학과","21삼체성,trisomy 21,몽고증"
다지증(polydactyly),,"부가지, 방아쇠 수지","성형외과, 정형외과, 수부외과",육손이
다태아(Multifetal pregnancy),오심,"이상 태위, 전치 태반, 태반 조기 박리, 자간전증, 자간증",산부인과,"쌍둥이,쌍태아,다태임신"
단독(Erysipelas),"오한, 열감, 림프 부종, 발진, 환부 통증","접촉 피부염, 혈관부종","가정의학과, 피부과",단독증
단세포군감마글로불린병증(Monoclonal gammopathy of undetermined significance),"거품있는 소변, 무증상, 단백뇨","자가면역 질환, 다발골수종","종양내과, 혈액내과","단클론성 감마글로불린혈증,단클론성 감마글로불린장애"
단순 포진(Herpes Simplex),"소양감, 작열감, 물집","단순 포진성 뇌염, 헤르페스 바이러스 감염, 대상포진",피부과,
단순 포진성 뇌염(Herpes simplex encephalitis),"열, 뇌전증 발작 , 두통, 언어장애, 의식 변화","헤르페스 바이러스 감염, 대상포진, 바이러스성 뇌수막염, 박테리아성 뇌수막염, 대상포진 후 신경통, 뇌염, 구순포진","감염내과, 신경과",
단심실(Single ventricle),"청색증, 무산소 발작, 심부전","방실 중격 결손, 선천성 심장 질환, 온전한 심실 중격을 가진 폐동맥 폐쇄, 심실 중격 결손, 대혈관 전위","소아청소년심장과, 신생아과, 소아심장외과, 선천성심장병센터","단심실 심장병,단일 심실"
단일 제대 동맥(Single Umbilical Artery),"다른 선천성 기형, 태아, 신생아의 기형, 태아 저체중","제대 탈장, 선천성 기형, 유산, 조산, 당뇨병",산부인과,"단동맥,단동맥탯줄"
단장 증후군(Short Bowel Syndrome),"복부 통증, 설사, 지방변, 빈혈, 체중감소","선천성 소장 결손, 폐쇄 및 협착, 십이지장 궤양, 소장의 혈관 장애, 위장관 출혈, 구루병",소화기내과,"작은창자증후군,짧은 창자증후군"
단풍당밀뇨증(Maple-syrup urine disease),,"호모시스틴뇨증, 페닐케톤뇨증","의학유전학센터, 소아내분비대사과, 의학유전학과","MSUD,단풍나무시럽병,단풍당뇨증,키노아미노산혈증"
담관암(Cholangiocarcinoma),"피부소양감, 진한 소변색, 황달, 회색변, 체중감소","경화성 담관염, 궤양성 대장염, 담석, 총담관 담석, 간디스토마","소화기내과, 종양내과, 방사선종양학과, 간담도췌외과, 간이식ㆍ간담도외과","담관악성종양,담관암종,담도암"
담낭 선근종증(Aadenomyomatosis of Gallbladder),"무증상, 산통, 복부 통증","만성 담낭염, 급성 담낭염, 담석, 담낭 용종, 담낭암","소화기내과, 간담도췌외과, 간이식ㆍ간담도외과",담낭선근종
담낭 용종(GB polyp),"복부 통증, 무증상","만성 담낭염, 담관암, 급성 담낭염, 담낭암, 담석","소화기내과, 간담도췌외과, 간이식ㆍ간담도외과","담낭 양성용종,담낭 폴립,쓸개용종"
담낭암(GB cancer),"오심, 복부 통증, 황달, 구토, 식욕부진, 체중감소","총담관 담석, 담석, 석회화 담낭, 궤양성 대장염","소화기내과, 종양내과, 방사선종양학과, 간담도췌외과, 간이식ㆍ간담도외과","담낭 선암종,담낭악성종양,쓸개악성종양,쓸개암"
담석(GB stone),"오심, 구토, 황달, 오한, 소화불량, 복부 통증, 열","담낭암, 간내 담석, 경화성 담관염, 총담관 담석, 담낭 용종, 담관암","소화기내과, 간담도췌외과, 간이식ㆍ간담도외과","담석증,담낭결석"
당뇨망막병증(Diabetic retinopathy),"시력 감소, 황반부종, 비문증, 광시증, 시야장애, 사물이 찌그러져 보임","인슐린 의존성 당뇨병, 인슐린 비의존성 당뇨병, 유리체 출혈, 당뇨망막병증, 망막 박리",안과,당뇨망막증
당뇨병(Diabetes mellitus),"고혈당, 소양감, 체중감소, 피로감, 다식, 다뇨, 저림, 다음, 시야장애","인슐린 의존성 당뇨병, 인슐린 비의존성 당뇨병, 당뇨망막병증, 당뇨병성 말초신경병증, 비만, 임신성 당뇨병, 당뇨병성 족부 질환","가정의학과, 내분비내과, 노년내과, 신ㆍ췌장이식외과",당뇨
당뇨병성 말초신경병증(Diabetic polyneuropathy),"무감각, 손, 발 감각 저하, 저림, 말초 신경장애, 말초 통증","인슐린 의존성 당뇨병, 인슐린 비의존성 당뇨병, 당뇨병성 족부 질환, 당뇨병, 당뇨망막병증",내분비내과,"당뇨병성신경병증,당뇨성말초신경병증,당뇨성신경병증"
당뇨병성 족부 질환(DM foot ulcer),"피부 건조, 발가락의 변형, 피부색 변화, 시림, 괴사, 저림, 감각 이상, 피부궤양","인슐린 의존성 당뇨병, 인슐린 비의존성 당뇨병, 당뇨병성 말초신경병증, 당뇨병, 당뇨망막병증","내분비내과, 성형외과, 혈관외과, 정형외과","당뇨발,당뇨병성 족부 궤양"
당뇨병성 케톤산증 (Diabetic ketoacidosis),"복부 통증, 의식 저하, 구강호흡, 구강건조, 다뇨, 피로감","인슐린 의존성 당뇨병, 당뇨병, 인슐린 비의존성 당뇨병",내분비내과,"DKA,당뇨병케톤산증,당뇨성케톤산증,케톤산증"
당원 축적병(Glycogen storage disease),,"폼페병, 갈락토오스혈증","의학유전학센터, 의학유전학과","Von Gierke병,당원병,당원병 Ia형,당원축적증"
대뇌성 거인증 (Sotos syndrome),"정신 지체, 얼굴형태의 이상, 난청","ARC 증후군, 바르덴부르크 증후군, 코넬리아드랑게 증후군 , 엘러스-단로스 증후군 , 연골외배엽 이형성증 , 판코니범혈구감소증, 골덴하 증후군, 홀트-오람 증후군 , 클리펠-트라우네이-베버 증후군, 다발성 흑자 증후군, 마르판 증후군 , 누난 증후군 , 루빈스타인 테이비 증후군 , 러셀 실버 증후군 , 트리처 콜린스 증후군 , 베크위트-위드만 증후군","의학유전학센터, 의학유전학과",소토스증후군
대동맥 박리(Aortic dissection),"어깨의 통증, 복부 통증, 오심, 돌연사, 요관 폐쇄, 헛배, 구토, 실신, 저혈량 쇼크, 요통","고혈압, 마르판 증후군 ","심장내과, 심장병원","대동맥 박리증,박리성 대동맥류"
대동맥 협착(Aortic stenosis),"피로감, 무증상, 가슴 통증, 운동 시 호흡곤란, 심부전, 실신","윌리암스 증후군 , 승모판 협착, 울혈성 심부전, 대동맥판막 협착, 대동맥궁 단절, 급성 심근경색증","소아청소년심장과, 소아심장외과, 선천성심장병센터",대동맥판 협착
대동맥 협착증(Coarctation of aorta),"발육부전, 수유 곤란, 쇼크, 운동 시 호흡곤란, 무뇨, 혈변, 호흡곤란, 폐동맥 고혈압, 고혈압, 하지의 근력약화, 저림, 신부전","울혈성 심부전, 폐성 고혈압, 신생아 괴사성 장염, 급성 신부전, 심실 중격 결손, 고혈압","심장내과, 심장병원","대동맥 판막 협착증,대동맥축착증"
대동맥궁 단절(Interrupted aortic arch),"폐동맥 고혈압, 호흡곤란, 무뇨, 심부전, 심인성 쇼크, 저심박출량, 대사성 산증, 쇼크, 보챔, 위장관의 허혈","신생아 괴사성 장염, 급성 신부전, 다운 증후군 , 총동맥간증, 대혈관 전위, 양대혈관 우심실 기시증, 심실 중격 결손, 단심실, 22번 염색체 장완 미세결실 증후군, 폐성 고혈압","소아청소년심장과, 소아심장외과, 선천성심장병센터",IAA
대동맥류(Aortic aneurysm),"복부 통증, 실신, 가슴 통증","복부 대동맥류, 흉부 대동맥류, 발살바동 동맥류 파열, 뇌동맥류, 동맥류","심장내과, 심장병원",
대동맥판막 기능부전(Aortic (valve) insufficiency),"기침, 호흡곤란, 가래, 무증상, 가슴 통증, 자율신경장애","대동맥판막 협착, 심내막염, 심장 판막 질환, 대동맥 박리","심장내과, 심장병원","Aortic insufficiency,대동맥판막 기능부전증,대동맥판폐쇄부전,대동맥판폐쇄부전증"
대동맥판막 협착(Aortic (valve) stenosis),"가래, 기침, 호흡곤란, 무증상, 가슴 통증, 자율신경장애","류마티스 관절염, 심내막염, 심장 판막 질환, 대동맥판막 기능부전","심장내과, 심장병원","대동맥 판 협착,대동맥 판 협착증,대동맥 판막 협착증"
대사 증후군(Metabolic syndrome),복부비만,"비만, 당뇨병, 고혈압",가정의학과,"증후군,대사성증후군,성인병,신진대사증후군,인슐린저항성증후군"
대사성 산증(Metabolic Acidosis),"복부경련, 권태감, 부정맥, 두통, 빈맥","당뇨병, 대동맥궁 단절, 온전한 심실 중격을 가진 폐동맥 폐쇄, 신부전, 급성 신부전, 대사성 알칼리증, 호흡성 산증, 호흡성 알칼리증, 횡문근융해증, 당뇨병성 케톤산증 ",소아신장과,"대사성 산혈증,산혈증"
대사성 알칼리증(Metabolic Alkalosis),"근육강직, 저림, 장폐색, 근력 약화, 지남력 장애, 부정맥, 뇌전증 발작 ","섬망, 대사성 산증, 신부전",신장내과,"대사성알칼리혈증,알칼리혈증"
대상포진(Herpes zoster),"딱지, 두통, 환부 통증, 발진","대상포진 후 신경통, 구순포진, 수두, 헤르페스 바이러스 감염",피부과,"Zoster,shingles"
대상포진 후 신경통(Postzoster neuralgia),환부 통증,대상포진,"마취통증의학과, 신경과, 신경외과, 피부과",대상포진신경통
대장 용종(Polyp of colon),"무증상, 혈변, 설사, 점액변, 복부 통증, 장폐색","대장염, 장폐색, 위용종, 대장암, 대장의 양성 종양",소화기내과,"선종성 용종,용종"
대장균 감염(Escherichia coli (E. coli) infection),"설사, 두통, 복부 통증, 구토","식중독, 요로 감염, 바이러스성 장염, 급성 방광염",감염내과,대장균
대장암(Colon cancer),"잔변감, 흑색변, 배변습관의 변화, 복부 통증, 소화불량, 점액변, 혈변","대장 용종, 변비, 대장의 양성 종양","소화기내과, 종양내과, 방사선종양학과, 대장항문외과","결장암,대장악성종양,대장암종,대장의 악성신생물"
대장염(Colitis),"설사, 점액변, 배변습관의 변화","게실 질환, 급성 충수염, 바이러스성 장염",소화기내과,"급성 대장염,대장질환,만성 대장염"
대장의 양성 종양(Benign colon tumor),"혈변, 점액변","대장 용종, 대장염, 대장균 감염, 궤양성 대장염","소화기내과, 대장항문외과",대장양성종양
대퇴 골절(Fracture of femur),"다리변형, 환부 부종, 손상 부위 통증, 다리의 길이가 틀림","대퇴골두 무혈관성 괴사, 병리적 골절, 피로 골절, 천추골 골절, 경골과 비골 골절, 골절 후 부정 유합, 불유합, 욕창",정형외과,"고관절 골절,대퇴경부골절"
대퇴골두 무혈관성 괴사(AVN of hip(femoral head)),"양반다리로 앉기힘듬, 골반 통증",대퇴 골절,정형외과,"고관절무혈성괴사,대퇴골두무혈성괴사,대퇴골두무혈성괴사증,대퇴골무혈성괴사"
대혈관 전위(Transposition of great artery),"호흡곤란, 빈맥, 청색증","심실 중격 결손, 선천성 심장 질환, 양대혈관 우심실 기시증, 울혈성 심부전","소아청소년심장과, 신생아과, 소아심장외과, 선천성심장병센터",완전 대혈관 전위증
댄디워커 증후군(Dandy-Walker syndrome),"근육강직, 정신 지체, 머리모양 변형, 구토, 오심, 의식 저하, 운동장애","수두증, 근육긴장이상증, 척수소뇌성 운동실조증 , 보행 운동 장애, 태아 알코올 증후군, 풍진","의학유전학센터, 소아신경과",DWS
덤핑 증후군(Dumping syndrome),"어지러움, 빈맥, 복부팽만감, 구토, 복부 통증, 저혈당, 오심","진행성 위암, 위암, 조기 위암",소화기내과,
뎅기열(Dengue fever),"열, 근육통, 발진, 두통, 반점, 식욕부진, 관절통","황열, 말라리아",감염내과,뎅귀열
독성 간염(Toxic hepatitis),"구토, 열, 피로감, 식욕부진, 무증상, 관절통, 복부 통증, 황달, 발진, 오심","전격성 간염, 약물 발진, 약물 유발성 자가면역성 용혈성 빈혈, 간염, 자가면역성 간염",소화기내과,"약물 유인성 간염,약인성 간염"
독성 쇼크 증후군(Toxic shock syndrome),"설사, 발진, 두통, 열, 불안, 구토","화상, 면역결핍증",응급의학과,독소쇼크증후군
돌발성 발진(Exanthem subitum),"발진, 식욕부진, 보챔, 반점",헤르페스 바이러스 감염,"소아내분비대사과, 소아소화기영양과, 소아감염과","roseola infantum,돌발발진,돌발진,소아 장미진,영아 발진"
돌출귀(Prominent Ear),펴진 귓바퀴,"돌출귀, 매몰귀",성형외과,"당나귀귀,미키마우스귀,박쥐귀"
돌출입(Class II malocclusion),,"수면 무호흡증, 턱관절 장애",,"부정교합,양악돌출증,상악돌출증,무턱"
동결견(Frozen shoulder),"어깨의 통증, 어깨 움직임의 제한",회전근개 증후군,"정형외과, 소아정형외과",오십견
동기능 부전 증후군(Sick sinus syndrome),"가슴 통증, 자율신경장애, 가슴 두근거림, 호흡곤란, 어지러움","부정맥, 심장 판막 질환, 심근병증, 오래된 심근경색증",,"동기능부전증,동방결절기능부전,동방결절기능부전증,동방결절기능부전증후군"
동맥간증(Truncus arteriosus),"수유 곤란, 청색증, 발육부전, 호흡곤란","선천성 심장 질환, 폐성 고혈압","소아청소년심장과, 소아심장외과, 선천성심장병센터","동맥간,동맥간 지속성 동맥줄기"
동맥관 개존증(Patent ductus arteriosus),"심잡음, 발육부전, 무증상","폐성 고혈압, 다운 증후군 , 울혈성 심부전, 선천성 심장 질환, 심내막염, 풍진","심장내과, 소아청소년심장과, 소아심장외과, 선천성심장병센터",보탈로동맥관개존증
동맥류(Other aneurysm),쇼크,"죽상경화증, 복부 대동맥류, 대동맥류, 뇌동맥류, 대동맥 박리, 발살바동 동맥류 파열, 고혈압, 흉부 대동맥류","심장내과, 심장혈관흉부외과","가성 동맥류,선천성 동맥류,진성 동맥류"
동맥색전증 및 혈전증(Arterial embolism and thrombosis),"말초 통증, 말초의 허혈, 저림, 괴사","급성 심근경색증, 뇌졸중, 심방 세동","심장내과, 혈관외과","Thrombosis,embolism,뇌 동맥 혈전증,뇌동맥 색전증,동맥 혈전색전증,동맥색전,동맥색전증,동맥혈전,동맥혈전증,색전증,혈전색전증,혈전증"
동상(Frostbite),"피부소양감, 무감각, 청색증, 창백, 물집",횡문근융해증,"가정의학과, 성형외과, 응급의학과",
동전모양 습진(Nummular Eczema),"물집, 소양감, 환부 부종",습진,피부과,화폐상습진
동정맥루 기능부전(AVF malfuction),"동정맥루 잡음 약화, 열감, 환부 부종, 발적","신부전, 만성 신부전",혈관외과,
두개 안면 부조화(Craniofacial dysharmony),"수유 곤란, 입술, 입천장의 기형, 머리모양 변형, 언어장애","구순열, 구개열, 선천성 사경, 두개 유합증, 수두증","성형외과, 치과","납작머리,두개안면기형,자세성 사두증"
두개 유합증(Craniosynostosis),"안구돌출, 청력장애, 광대뼈 위치 이상, 머리모양 변형, 다른 선천성 기형","수두증, 구순열, 파이퍼 증후군 , 크루존 증후군, 구개열","성형외과, 소아신경외과","두개 조기유합,두개골 조기봉합증,두개골조기유합증,두개조기융합,머리뼈 붙음증"
두개골 골절(Skull Fracture),"점상 출혈, 두통","안와 골절, 자발성 두개강 내 출혈, 외상성 경막하 출혈, 외상에 의한 뇌 손상, 외상에 의한 고막 천공, 안면 골절","성형외과, 신경외과, 정형외과",
두경부암(Head and Neck Cancer),,"비인두 종양, 편도암, 타액선암, 구강암, 후두암, 갑상선암","종양내과, 방사선종양학과, 성형외과, 이비인후과","구강암,부비동암,인두암,후두암,인후두암,혀암"
두드러기(Urticaria),"두드러기, 발진, 피부소양감","간찰성 홍반, 소양증, 어린선, 아토피성 피부염, 약물 발진, 접촉 피부염, 돌발성 발진, 탈락 피부염, 봉와직염, 지루성 피부염, 기저귀 피부염, 피부염","피부과, 알레르기내과","담마진,두드러기피부,은진,은진피부,피부두드러기,피부은진"
두부 백선(Tinea Capitis),"체모감소, 피부소양감, 피부 각질","비듬, 무좀, 탈모증, 곰팡이 감염",피부과,"기계충,독창,머리 백선"
두통(Headache),"압통, 눈이 무거운 느낌, 뇌압상승증상, 박동성 통증","뇌종양, 양성 뇌종양, 자발성 두개강 내 출혈, 급성 A형 간염, 바이러스성 뇌수막염, 박테리아성 뇌수막염, 미세혈관병용혈빈혈, 새집 증후군, 군발성 두통 증후군, 편두통, 근육 긴장성 두통, 외상성 경막하 출혈, 지주막하 출혈, 급성 B형 간염, 급성 C형 간염, 말단비대증, 호흡성 산증, 독성 쇼크 증후군, 대사성 산증, 일본 뇌염, 뇌염, 뎅기열, 넬슨 증후군","노년내과, 신경과, 신경외과, 소아신경과",머리의 통증
듀시엔형 근이영양증 (Duchenne muscular dystrophy),운동장애,"척수근육위축, 베커형 근이영양증","소아청소년심장과, 의학유전학센터, 소아내분비대사과, 소아신경과, 의학유전학과","muscular dystrophy,근디스트로피,근육퇴행위축,근이영양증,두시엔느 근육퇴행위축,뒤셴형 근이영양증,뒤시엔느 근디스트로피,뒤시엔느 근육퇴행위축,뒤시엔느 근이영양증,듀시엔느 근이영양증"
듀피트렌 구축(Dupuytren's contracture),"덩어리가 만져짐, 손가락 운동장애","뇌전증, 알코올 의존성, 당뇨병","성형외과, 정형외과","듀피트렌,듀피트렌 병"
디프테리아(Diphtheritia),"콧물, 목의 통증, 기침, 열, 기운없음, 빈맥",해외여행 시 주의사항,감염내과,
딸기코(Rosacea),"코의 모공이 커짐, 피부염증",안면 홍조증,피부과,주사비
땀띠(Miliaria),"발진, 물집",국소 다한증,피부과,"속립진,한진"
"떨림, 진전(Tremor)","온몸이 떨림, 손떨림, 떨림(진전)","파킨슨병, 근육긴장이상증, 이차성 파킨슨증, 비정형 파킨슨 증후군",신경과,수전증
뚜렛 증후군(Tourette Syndrome),"이상한 소리를 냄, 비정상적인 움직임",틱 장애,"정신건강의학과, 소아정신건강의학과","뚜렛 장애,뚜렛병,뚜렛씨 장애,투렛 증후군"
라론 증후군(Laron syndrome),,"골감소증, 비만, 저신장",,성장호르몬 불감성 증후군
라싸열(Lassa fever ),"뇌염증상, 구토, 단백뇨, 결막염, 청력장애, 가슴 통증, 열, 얼굴부종, 근육통","출혈성 결막염, 에볼라 출혈열","감염내과, 어린이병원","라사열,라사피버,라싸피버"
라이 증후군(Reye syndrome),"구토, 혼수, 환각, 기민상태, 흥분","상기도 감염, 인플루엔자, 수두",어린이병원,"라이에 증후군,레이증후군"
라임병(Lyme disease),"오한, 근육통, 피로감, 관절통, 두통, 안구혼탁, 수면장애, 발진, 열",관절염,"감염내과, 피부과",
랑거한스세포 조직구증식증(Langerhans cell histiocytosis),"설사, 열, 황달, 발진, 복수",헤르페스 바이러스 감염,"소아청소년종양혈액과, 정형외과","Histiocytosis X,X 조직구증,랑거르한스세포조직구증,랑게르한스 조직구증,랑게르한스세포조직구증,랑게르한스세포조직구증식증,조직구 증식증"
러셀 실버 증후군 (Russell-Silver syndrome),"얼굴형태의 이상, 저혈당, 근긴장의 이상, 4,5번째 손가락 굽음, 저체중","베크위트-위드만 증후군, ARC 증후군, 바르덴부르크 증후군, 트리처 콜린스 증후군 , 대뇌성 거인증 , 루빈스타인 테이비 증후군 , 코넬리아드랑게 증후군 , 엘러스-단로스 증후군 , 연골외배엽 이형성증 , 판코니범혈구감소증, 골덴하 증후군, 홀트-오람 증후군 , 클리펠-트라우네이-베버 증후군, 다발성 흑자 증후군, 마르판 증후군 , 누난 증후군 ","의학유전학센터, 소아내분비대사과, 의학유전학과",
레리시 증후군(Leriche Syndrome),"발기부전, 불임, 저림","고혈압, 죽상경화증, 고콜레스테롤혈증",,
레버씨 시신경 위축증 (Leber hereditary optic neuropathy(LHON)),,"미토콘드리아성 뇌근육병증, MERRF(Myoclonic Epilepsy with Ragged Red Fiber) 증후군, 리 증후군","안과, 소아안과",레버 유전성 시신경병증
레쉬-니한 증후군 (Lesch-Nyhan syndrome),,"메틸말론산증, 프로피온산증","의학유전학센터, 소아내분비대사과, 소아신경과, 의학유전학과",레슈-니한 증후군
레이노병(Raynaud'S Phenomenon),"궤양, 말초 통증, 사지의 창백한 현상, 청색증, 저림, 손의 통증","전신 홍반성 낭창, 수족냉증, 전신 경화증, 류마티스 관절염",류마티스내과,"레이노 증후군,레이노드증후군,레이노씨병,레이노이드 증상,레이노이드 증후군,레이노이드 질환"
레지오넬라증(Legionella),"두통, 목의 통증, 구토, 권태감, 근육통, 설사, 기침, 오심, 열, 콧물, 오한","부비동염, 폐렴간균에 의한 폐렴 , 흡인성 폐렴, 만성 신우신염, 폐렴, 급성 신우신염, 지역사회성 폐렴, 병원 감염성 폐렴, 신부전, 상기도 감염, 급성 신부전, 만성 신부전, 인플루엔자, 저혈압, 폐 농양",감염내과,"레지오넬라 감염증,레지오네라,재향군인병,Pontiac fever,폰티악열,여름 감기,레지오넬라 폐렴"
